R2_EP_DR,51.60,68.61,90.00,10K,CPF0201D7K68C1_0201
R2_USB,63.14,66.11,0.00,5K1,CPF0201D7K68C1_0201
R3,53.95,44.11,0.00,0,CPF0201D7K68C1_0201
R4,47.15,44.61,270.00,0,CPF0201D7K68C1_0201
R5,68.90,47.83,0.00,10K,CPF0201D7K68C1_0201
R7,74.47,50.61,90.00,10K,CPF0201D7K68C1_0201
R8,69.38,48.11,0.00,10K,CPF0201D7K68C1_0201
R9,72.42,46.11,0.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD,72.46,48.11,0.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,58.27,71.15,180.00,2.2,CPF0201D7K68C1_0201
SJ1,56.70,70.35,90.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,52.51,41.65,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,63.50,41.65,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,74.26,41.65,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,76.52,72.01,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,80.20,71.88,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,78.70,42.63,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,79.24,39.59,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,56.95,39.57,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,59.36,39.63,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,72.49,72.01,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,43.58,41.04,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,54.06,47.07,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,84.64,67.63,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,84.95,64.13,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,74.53,46.13,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,78.61,46.13,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,62.50,49.00,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,70.23,52.09,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,82.62,43.13,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,76.59,57.47,90.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,61.55,56.13,270.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
